method,L1,L2,Linf,relative_L2,density_error,bulk_velocity_error,energy_error,minimum,negative_mass
C-FNO,0.00855284290952057,0.0006780742855463126,0.0002306094393134117,0.004801810419860087,2.9350399765815105e-05,0.00021608588372189498,0.0005538604848125406,-1.4489074601442553e-05,0.0008097669133045915
FNO,0.008203064348439778,0.0006966239119323588,0.00023998133838176727,0.004933170347767197,0.001060180193415028,0.00036494991663823606,0.0007411763957516637,-1.376344334858004e-05,0.0005286354411340378
SM,0.006289077695631033,0.0006493037655492125,0.00018569128587841988,0.004598070821335771,1.1939261801430234e-09,1.251748641054197e-16,1.870402828352269e-05,-1.5378248008346418e-08,3.323580861954577e-08
Identity,0.100282216123613,0.023324751788905588,0.02310090744867921,0.16517517116930602,6.0097846699136426e-09,7.081780200777148e-17,8.304839260731e-09,6.283506780992809e-31,0.0
