sample_index_zero_based,family,method,L1,L2,Linf,relative_L2,mass_drift,momentum_drift,bulk_velocity_drift,energy_drift,minimum,negative_mass
0,1,Identity,7.697116843784272e-07,5.952195954967742e-08,1.862645149230957e-08,2.6450763169469996e-07,2.220446049250313e-16,7.850462293418876e-17,1.1102230246251565e-16,0.0,1.19923470098937e-37,0.0
0,1,Teacher,0.0,0.0,0.0,0.0,7.864175977090326e-11,7.070593062682242e-08,7.067073144251028e-08,2.0913527376542618e-07,-6.47663567221457e-09,5.526109287216402e-08
0,1,FNO,0.007087464491617656,0.0011094045253116044,0.000983014702796936,0.0049300454118390265,0.0010068877396904874,0.0011746467009689466,0.0017394370507390845,0.003402112600856544,-1.1540567356860265e-05,0.000844230036826246
0,1,C-FNO,0.009656504249851884,0.0009594694722940638,0.0008081123232841492,0.0042637540786615745,0.0007782526025752468,0.0005512869352168933,0.00020962657552583527,0.0032452272102552193,-2.2594098481931724e-05,0.0022280468676956398
1,1,Identity,0.00011731084029258012,1.1738168086918138e-05,6.2212347984313965e-06,3.366241452963672e-05,2.220446049250313e-16,1.1295700899707568e-16,7.97218214573518e-17,0.0,0.0,0.0
1,1,Teacher,0.0,0.0,0.0,0.0,1.4889560695507953e-09,1.4678977814614446e-06,1.467325256914206e-06,1.6100045296951748e-08,-1.386004441883415e-06,1.8796734855146526e-05
1,1,FNO,0.00716161014757035,0.001320534978048509,0.0013947337865829468,0.003786996020400714,0.00018584811513933097,0.0006691392995495936,0.0005822449409258499,0.004501455778038732,-4.1646697354735807e-05,0.001691871456575972
1,1,C-FNO,0.010169467253910781,0.0011992700300882395,0.001130327582359314,0.003439235542281238,0.00030343556506950975,0.0004844862836076751,0.000428836410106469,2.549971354848246e-06,-4.3161602661712095e-05,0.002902656970021996
2,2,Identity,0.0338170459477897,0.006834667009696217,0.006069745868444443,0.04706948610513688,0.0,3.9089306088615125e-17,3.9089305745677217e-17,0.0,5.170975221855164e-26,0.0
2,2,Teacher,0.0,0.0,0.0,0.0,8.823506703059536e-09,1.5138487284997508e-16,1.5138487262755574e-16,5.863533127192788e-05,-9.977603595764939e-14,9.480431742249074e-14
2,2,FNO,0.009141155446952941,0.001163747953801139,0.0006460174918174744,0.008014584772544594,0.0058769832889180584,0.0004639104496522894,0.0004611999810247625,0.012921527164297064,-9.328804480901454e-06,0.0004810342327510725
2,2,C-FNO,0.013283964048451875,0.0013977442623751462,0.0010422691702842712,0.009626087714743835,0.002488848548068745,0.0003052916274005135,0.0003045336865052848,0.011725004436422104,-2.6006540792877786e-05,0.0030178199916941453
3,2,Identity,0.03319478833891175,0.006697204968045717,0.0059387460350990295,0.046102568110413696,0.0,2.657101808521102e-17,2.6571018041652825e-17,0.0,5.935070208735311e-26,0.0
3,2,Teacher,0.0,0.0,0.0,0.0,4.06755040760487e-09,3.0518927421805984e-17,3.051892745978325e-17,5.9411913069462585e-05,-9.431217878061796e-14,8.609976086580315e-14
3,2,FNO,0.009215001068038603,0.0011832314890778597,0.0006746537983417511,0.00814519050497513,0.005927028214811614,0.00046136259441872463,0.0004586441965732145,0.013055441588128991,-9.356998816656414e-06,0.0004812771925532573
3,2,C-FNO,0.013448254192906631,0.0014297643010222833,0.0010697990655899048,0.009842285906467104,0.002493639081420751,0.0003055682789227718,0.00030480819679124,0.011814860764189694,-2.5995352189056575e-05,0.003029884161059386
4,3,Identity,0.011787340345938226,0.003009899383018532,0.0023190081119537354,0.010696324166811856,2.220446049250313e-16,8.886119947416683e-17,7.473417450352271e-17,0.0,0.0,0.0
4,3,Teacher,0.0,0.0,0.0,0.0,2.6325726043552322e-09,8.246262614023348e-07,8.238980780873637e-07,2.160877377033188e-08,-1.2156721140854643e-07,2.016937066208933e-06
4,3,FNO,0.012503189204325228,0.002652583491188759,0.0026675015687942505,0.009426525372032278,0.0014531620513755783,0.0007181485107719156,0.0002569508790375148,0.004921450391315418,-1.2093348232156131e-05,0.001076831890749694
4,3,C-FNO,0.013716823177652932,0.002537164141703959,0.002523660659790039,0.009016357914549408,0.000493415570994471,0.00022598870977294045,0.00014092499563190194,0.0023905232645520247,-2.1742729586549103e-05,0.001633869167775525
5,3,Identity,0.013666152764529947,0.0026139438554492562,0.0016641244292259216,0.012224087938611556,2.220446049250313e-16,5.551115123125783e-17,1.7772239894833365e-16,0.0,1.9480092639622805e-34,0.0
5,3,Teacher,0.0,0.0,0.0,0.0,1.0484857426718008e-09,6.896617409746729e-08,6.929369771859256e-08,6.476167215829776e-07,-2.130486542739618e-08,9.495806120966274e-08
5,3,FNO,0.014829569955906965,0.002287402958845783,0.0013814494013786316,0.010697021996735055,0.0022173243254217656,0.001368797860585763,0.00256161819014516,0.005813009377929834,-1.1542166248545982e-05,0.0007998400862169847
5,3,C-FNO,0.016919522542623466,0.0021383385196121537,0.0013280734419822693,0.009999923315784795,0.0006175128130705421,0.0006250762113958996,0.0004662381859044758,0.007810373539371529,-2.530546407797374e-05,0.0024890774054633353
