step,learning_rate,train_loss,train_mse,train_mass,train_momentum,train_energy,gradient_norm,validation_loss,validation_mse,validation_mass,validation_momentum,validation_energy,validation_relative_l2,validation_bkw_relative_l2,validation_non_bkw_relative_l2,validation_selection_score,validation_mass_drift,validation_momentum_drift,validation_energy_drift,validation_negative_mass
20.0,0.0009998914383200486,1.5347857292372606,1.5345618844032287,1.2632185425715145e-06,2.997645918859801e-11,9.978104105849083e-07,0.03958907723426819,1.1030978641831515,1.1030629470944404,1.9558167473236143e-07,7.183330888508246e-11,1.570443577279339e-07,0.06169280642097874,0.143756203353405,0.0069838751326945685,0.07537003924304979,0.00020198822021484376,1.229480403708294e-05,0.0030976295471191405,0.0
40.0,0.0009995658008989348,1.510649187116337,1.5106244444847108,1.3750124811291657e-07,2.6318237309530634e-09,1.097925001361352e-07,0.10820802301168442,1.1024364114734526,1.1024206548929214,9.478661311377652e-08,1.8210463787842243e-08,4.6160302200646575e-08,0.06168217579688644,0.1437140628695488,0.006994251081778202,0.0753541569756635,0.00014063119888305665,0.00019283312722109258,0.0016792535781860352,0.00016951665165834128
60.0,0.0009990232305719941,1.4808542400065245,1.48047131896019,2.7966037953378085e-06,4.998164399053855e-07,5.714691216720109e-07,1.577014446258545,0.9992307684649623,0.9968687042593956,1.540339111355214e-05,7.907075750201073e-06,5.487675359103123e-07,0.06076623182743788,0.13502611219882965,0.011259644913176695,0.07314287855600317,0.0014128327369689942,0.003593459911644459,0.004634761810302734,0.013940669782459735
80.0,0.0009982639653285047,1.1378713768812205,1.1104623705148697,0.00019598166438440566,3.6619391404366664e-05,4.425759437638576e-05,7.855005741119385,0.6991250876405835,0.6577617406845093,0.0003495824717320735,3.6687158161021494e-05,3.154195552179562e-05,0.05134847797453403,0.09114997461438179,0.024814146881302197,0.05798206074784199,0.007125437259674072,0.00705520180054009,0.04342243671417236,0.02837330847978592
100.0,0.0009972883382072947,0.6611643134845485,0.6135809324681759,0.00031246094007519453,6.947610824124192e-05,9.870316397015459e-05,4.8960747718811035,0.41310474019329296,0.37784016132354736,0.00019640771737648193,0.00012140605371064523,3.839409628404047e-05,0.03463819473981857,0.04521779902279377,0.02758512521783511,0.03640146212031444,0.004926943778991699,0.015298949740827083,0.045449697971343996,0.02276587449014187
120.0,0.0009960967771506662,0.38813301649575954,0.3124550096690655,0.00041674309300865527,0.00017770072787712534,0.00016998049049496704,5.932682514190674,0.3531465248830516,0.25716635286808015,0.0002484996392830991,0.0003877716854726972,0.00033322536226411707,0.02823912985622883,0.03771715611219406,0.02192044568558534,0.029818800898889698,0.005674445629119873,0.027179470285773277,0.11495882272720337,0.02166593335568905
140.0,0.0009946898048166792,0.2813191571945513,0.2316989131271839,0.00023322049867751407,9.723134218293038e-05,0.0001707627456786202,4.558446407318115,0.21237808914030032,0.1793065309524536,0.00011401405489355328,3.6159240281068294e-05,0.00018388284813696123,0.024404937773942946,0.03338363766670227,0.018419137845436733,0.025901387756069504,0.0035521626472473145,0.007867531105875968,0.09321811199188232,0.017343389429152013
160.0,0.0009930680383499002,0.17602317561885855,0.16058226078748702,7.713839699961847e-05,1.5570629595027485e-05,6.32598100858743e-05,0.9282795190811157,0.13136972294705515,0.12252015471458436,2.304337346514543e-05,1.729529361399336e-05,4.905091102662694e-05,0.019244244694709776,0.02407740242779255,0.016022139539321262,0.020049770983556904,0.001793825626373291,0.0059390653856098655,0.043299531936645506,0.010604731552302838
180.0,0.0009912321891107012,0.11922369020064313,0.11199336610734463,3.574732075976001e-05,1.2043218047711858e-05,2.5243037892513016e-05,1.4243215322494507,0.09293175484821242,0.0887050211429596,1.3710126253879153e-05,5.157374228913923e-06,2.3826779368245517e-05,0.016314166970551013,0.019863217137753963,0.013948133525749048,0.016905675331751507,0.0013589024543762206,0.0029507691506296396,0.03589794635772705,0.010921124182641507
200.0,0.0009891830623632344,0.08868462761607912,0.08469020780175925,1.4968548901352313e-05,6.537891396555455e-06,1.8841234594212008e-05,1.5246965885162354,0.07877326531043427,0.07384432032704354,3.2384288343004753e-05,3.027358440575058e-06,1.4375676280973119e-05,0.013655380718410015,0.01524864137172699,0.012593206949532032,0.013920924160629511,0.0022841930389404298,0.0022878208663314583,0.02675197124481201,0.009195563942193985
220.0,0.0009869215569222147,0.062125436597915876,0.059567627031356096,1.2852743131951036e-05,4.082196297253816e-06,8.901520839075605e-06,1.9777618646621704,0.051251135641263025,0.048655932396650316,9.53273306837064e-06,1.2230381205094378e-05,4.451059914542161e-06,0.011732746288180352,0.0135881626047194,0.010495802077154318,0.012041982340936858,0.0013029694557189942,0.0048636763356626036,0.0141135573387146,0.007530937436968088
240.0,0.0009844486647586715,0.049419136211354145,0.04653549659997225,1.2451848792610255e-05,8.89642937989116e-06,7.77939466974005e-06,1.2419534921646118,0.04989590309482096,0.04663160666823387,1.3913642334835736e-05,1.0798704732310401e-05,8.260344110501265e-06,0.010989462956786156,0.012390489224344492,0.010055445445080599,0.011222967334712546,0.0014004468917846679,0.004760203883051872,0.01579650640487671,0.007279972545802593
260.0,0.0009817654705648387,0.04659482026995551,0.042862832499668005,1.928055193128475e-05,4.4841296813068525e-06,1.3932164551928662e-05,1.5348830223083496,0.0428720076177055,0.04164891801774502,7.667114801159428e-06,3.3540882230836605e-06,1.333237379398098e-06,0.010326929297298193,0.011684966273605824,0.009421571313093105,0.010553268793349464,0.001025521755218506,0.0024875611066818236,0.008157789707183838,0.00689900666475296
280.0,0.0009788731512783702,0.03795870690009525,0.035948369465768334,1.062363837343692e-05,2.733548915619373e-06,6.949251441518591e-06,0.7326347231864929,0.04560546008052203,0.043528303131461145,1.5708197757173653e-05,1.2663075647679088e-06,4.0068780019057584e-06,0.010269266366958619,0.010841981042176485,0.00988745658348004,0.010364718812828261,0.0014950037002563477,0.0014646162977442144,0.01479555368423462,0.006260552071034908
300.0,0.0009757729755660972,0.03495256537487308,0.033449691440910104,8.68669086214353e-06,1.4190675365113206e-06,5.07478638885003e-06,0.5475746393203735,0.04195507147377985,0.04004835411906242,8.193806639932263e-06,1.2163928724396193e-06,9.849571747400153e-06,0.009961663465946912,0.01110885152593255,0.009196871425956488,0.010152861475944519,0.001186060905456543,0.0015099459211342036,0.024345123767852785,0.00488743344321847
320.0,0.0009724663032675492,0.028447111473574916,0.027319437870755792,5.886301684760014e-06,1.3411982956936717e-06,4.163142472264732e-06,0.5007425546646118,0.03915881181130376,0.03791949599981308,7.711976391172888e-06,3.3811107265580396e-06,1.4252544124779768e-06,0.0091459222137928,0.009570944588631392,0.008862573963900408,0.0092167592762659,0.0010184049606323242,0.0026407070457935334,0.00861051082611084,0.0054553264752030374
340.0,0.0009689545847984824,0.03391742611416791,0.03231520892586559,9.355065050747e-06,2.2427638447789167e-06,4.586183107527867e-06,0.5829163193702698,0.035578407023279156,0.03474545329809189,6.519834826529718e-06,1.533006186043302e-06,3.6083297921755844e-07,0.008713931124657393,0.008984941523522139,0.008533257525414228,0.008759099524468184,0.0010721921920776368,0.0017792080761864781,0.00402984619140625,0.004258300876244903
360.0,0.0009652393605146806,0.029718941288266153,0.028630342753604054,5.188185775545194e-06,1.48548576949007e-06,4.322273249531361e-06,1.2460898160934448,0.0390700422040088,0.03841409720480442,3.5878431014358833e-06,2.663378670484223e-06,3.744852907504221e-07,0.008930098731070757,0.008642480475828052,0.009121844234565893,0.008882162355196972,0.0006451845169067383,0.002178904158063233,0.004552686214447021,0.004565077042207122
380.0,0.000961322260036304,0.02681122825529502,0.026082200440578164,4.512024587569831e-06,9.934055373873426e-07,1.8584871954150787e-06,0.26944082975387573,0.03557446129918621,0.03410792117938399,8.707331914508356e-06,5.44938900558012e-07,5.56126574859239e-06,0.00819872235879302,0.00791096268221736,0.008390562143176794,0.008150762412697077,0.0012760400772094727,0.0009305763349402695,0.018001222610473634,0.0038150021340698005
400.0,0.0009572050015330836,0.026510528685633812,0.02553571993485093,5.498937210100105e-06,1.0598400837053915e-06,3.2877757444053715e-06,0.5144885778427124,0.035275511843736784,0.034386301040649415,4.988061186734031e-06,2.802138636973868e-06,1.1917274802049143e-06,0.008044380741193891,0.007711060578003526,0.0082665941833208,0.007988827380662162,0.0008870601654052734,0.0021607455681078138,0.006768727302551269,0.004040883108973503
420.0,0.000952889390970676,0.0243784395793439,0.023587237717583774,5.097788839420191e-06,8.686574242872369e-07,2.0254917338696393e-06,0.5916670560836792,0.033833874820011704,0.033562546223402025,1.7073533351342668e-06,4.030532256020691e-07,6.302863343109441e-07,0.007952115032821894,0.007294378941878676,0.008390605760117372,0.007842492350998025,0.00042467117309570314,0.0007644372875802219,0.005017483234405517,0.0037566440412774684
440.0,0.0009483773213185059,0.025087787957266384,0.024031829345040022,6.299017767745781e-06,6.056742908290984e-07,3.761556549772185e-06,0.30238598585128784,0.035951224667992346,0.03338388660922646,2.0025308917322477e-05,5.086956036711633e-07,5.398703143308193e-06,0.008028521947562695,0.007650189101696014,0.008280743844807148,0.007965466473251581,0.0019684433937072754,0.0009559199679642916,0.01670067310333252,0.004282220033928752
460.0,0.0009436707717194479,0.02346297022634697,0.022177789034321903,8.706456185653866e-06,5.258081378527858e-07,3.749363878766733e-06,1.52938711643219,0.036103284474255176,0.03589859958738088,1.1155209916634163e-06,4.796007536578796e-07,4.724023645200631e-07,0.007882763817906379,0.006879041204228997,0.008551912227024635,0.007715476715626816,0.00042116641998291016,0.0008609855372924358,0.004944062232971192,0.003959491848945618
480.0,0.0009387718066217091,0.024578053078716865,0.02335854775737971,7.387206394677409e-06,4.961309861889777e-07,4.434898188195789e-06,0.9330787658691406,0.0336164217877689,0.033332806825637815,2.0296773865776224e-06,6.909101073502491e-07,1.4421010335584534e-07,0.007816315861418843,0.007217099657282233,0.00821579333084325,0.007716446494062741,0.000542902946472168,0.0012007842771708966,0.002250850200653076,0.0032760766800493
500.0,0.000933682574873294,0.023896232352251762,0.022930170129984617,5.756175504602104e-06,9.496979620200937e-07,3.052330798702476e-06,0.5843839049339294,0.03163230091218584,0.03106386223807931,4.8192946406958314e-06,7.910326813537025e-07,1.31477466905315e-07,0.0072328809183090925,0.006017557345330715,0.00804309663362801,0.007030326989479363,0.0007143497467041015,0.0012450157199054956,0.0024959683418273927,0.003328693378716707
520.0,0.0009284053087794476,0.025264070786556948,0.024739451764617115,3.4158151635860295e-06,9.833222425515277e-07,9.000446336587355e-07,0.5723269581794739,0.03683550683833428,0.036570183001458645,1.8619383924768315e-06,2.7418821176025e-07,5.439121520824879e-07,0.007527461647987366,0.0054778594058007,0.008893863142778477,0.007185861274289588,0.000557565689086914,0.0007263572071678937,0.005030381679534912,0.0030842871172353627
