step,learning_rate,train_loss,train_mse,train_mass,train_momentum,train_energy,gradient_norm,validation_loss,validation_mse,validation_mass,validation_momentum,validation_energy,validation_relative_l2,validation_bkw_relative_l2,validation_non_bkw_relative_l2,validation_selection_score,validation_mass_drift,validation_momentum_drift,validation_energy_drift,validation_negative_mass
20.0,0.0009998914383200486,1.5342237412929536,1.5342237412929536,7.914474320916605e-07,1.266787293109137e-07,6.193574940224473e-07,0.01657235249876976,1.101475355774164,1.101475355774164,5.345557240307273e-08,9.871668376965126e-07,3.6853059109395193e-08,0.061674596479861066,0.14365195482969284,0.007023024246639882,0.07533748953816637,0.00010390281677246094,0.0014434276614338159,0.0014972567558288574,0.00029549482569564135
40.0,0.0009995658008989348,1.4739007234573365,1.4739007234573365,2.7971814067824083e-06,1.524611237250289e-05,1.3552831950678404e-06,0.8871832489967346,0.9987517982721329,0.9987517982721329,1.711955061434481e-05,8.731128148582706e-05,3.6335718675144615e-06,0.060990402847528456,0.1349024623632431,0.011715696503718695,0.0733090794334809,0.001638936996459961,0.013271049596369267,0.012502896785736083,0.01585490647703409
60.0,0.0009990232305719941,1.087492462992668,1.087492462992668,0.0006672030051981832,8.923820853344067e-05,3.865367558592822e-05,1.8165490627288818,0.5544707298278808,0.5544707298278808,0.0006645406962248685,6.419539963228994e-05,0.00010759535245753358,0.046553856879472735,0.08178728073835373,0.023064907640218735,0.05242609418928623,0.01127464771270752,0.010819034092128277,0.07777320146560669,0.02708440348505974
80.0,0.0009982639653285047,0.42247115150094033,0.42247115150094033,0.0021970730257042785,6.131472273239187e-05,0.0006542710483795073,0.778649091720581,0.19790277183055877,0.19790277183055877,0.002922306068269041,5.659211646282001e-05,0.000655264560436265,0.026325249671936037,0.036753496155142784,0.019373085349798203,0.028063290752470493,0.02260087728500366,0.0101931881159544,0.1992611765861511,0.022654749825596808
100.0,0.0009972883382072947,0.18926384188234807,0.18926384188234807,0.0016581361671366758,6.068893174793239e-05,0.00039443266869426295,1.0219149589538574,0.13126584887504578,0.13126584887504578,0.0013642498582201901,8.804434837359126e-05,9.228278883381574e-05,0.02083921041339636,0.02741536870598793,0.016455104885001976,0.02193523679549495,0.014670622348785401,0.012231638748198747,0.06538506746292114,0.011831884458661079
120.0,0.0009960967771506662,0.11414101682603359,0.11414101682603359,0.0006724408977499551,5.692454128636733e-05,4.502781011117017e-05,0.5467166304588318,0.08540951460599899,0.08540951460599899,0.0003759361236573578,6.767404825700831e-05,1.9684642919339274e-05,0.015541709959506989,0.018329162150621414,0.013683408498764038,0.016006285324692726,0.0077929854393005375,0.010698301810771227,0.028383755683898927,0.009177695121616125
140.0,0.0009946898048166792,0.062423492409288885,0.062423492409288885,0.00015305208410731365,8.310301929555077e-05,3.711633201913974e-05,0.1826157569885254,0.05543959513306618,0.05543959513306618,2.382018840164008e-05,6.793005476685789e-05,1.789036292046127e-05,0.012547221034765244,0.015065534971654415,0.010868345076839129,0.012966940024246771,0.0019756317138671874,0.011210265010595322,0.032950055599212644,0.005993885360658169
160.0,0.0009930680383499002,0.043546394584700464,0.043546394584700464,6.311804674802552e-05,4.2331196819555206e-05,3.15884881738769e-05,0.656847357749939,0.04231748953461647,0.04231748953461647,4.457206683689369e-05,1.2634268021954421e-05,2.105996328657523e-05,0.010609745047986507,0.012885510455816984,0.009092568109432856,0.010989039282624919,0.0026451706886291503,0.004843355808407068,0.03518766164779663,0.004210071079432965
180.0,0.0009912321891107012,0.037042626785114406,0.037042626785114406,6.933553016404857e-05,1.2084090496703249e-05,2.7744915585168575e-05,0.3745727837085724,0.04065527431666851,0.04065527431666851,2.422863572669004e-05,8.186686202502739e-06,6.874114594671586e-06,0.009992448054254055,0.011399753857403994,0.009054244185487429,0.01022699902144571,0.0017870068550109863,0.0034961238503456115,0.019437217712402345,0.0033825956052169204
200.0,0.0009891830623632344,0.03180219326168299,0.03180219326168299,1.4208230847615588e-05,8.746196805400362e-06,5.2437013774912415e-06,0.6897620558738708,0.038799375854432584,0.038799375854432584,1.2589250123920886e-05,4.9961967162115415e-06,3.6784611209959676e-06,0.009497321955859662,0.011045826599001884,0.008464985527098179,0.009755406063050032,0.0013733625411987305,0.00268648755736649,0.013356852531433105,0.003111954079940915
220.0,0.0009869215569222147,0.029321461706422268,0.029321461706422268,2.559457779733652e-05,5.207528896985373e-06,9.960022410797523e-06,0.2315846085548401,0.03555337935686111,0.03555337935686111,6.158023048788196e-05,4.618232786296473e-06,3.487072761170803e-05,0.00903033697977662,0.01049631042405963,0.008053021350254616,0.009274665887157123,0.0033116579055786134,0.0026100418297573926,0.04527407884597778,0.001728959137108177
